Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
22,IBU,1887,Abbey Single Ale,57,Abbey's Single Ale (Current),,,,
22,IBU,2505,Abbey Single Ale,57,Abbey's Single (2015- ),,,,
0.049,AP,1887,Abbey Single Ale,57,Abbey's Single Ale (Current),,,,
0.049,AP,2505,Abbey Single Ale,57,Abbey's Single (2015- ),,,,
40,IBU,502,Altbier,395,Alteration,,,,
30,IBU,573,Altbier,268,Long Trail Ale (1),,,,
,IBU,582,Altbier,71,Balt Altbier,,,,
,IBU,936,Altbier,490,,Loafin Bräu,,,
33,IBU,1090,Altbier,268,,Double Bag,,,
,IBU,1129,Altbier,200,,Occidental Altbier,,,
40,IBU,1248,Altbier,122,Main St. Virginia Ale,,,,
,IBU,1597,Altbier,364,Altus Bohemes Altbier,,,,
18,IBU,1920,Altbier,270,Alaskan Amber,,,,
43,IBU,2339,Altbier,144,Little Red Cap,,,,
,IBU,2354,Altbier,121,,Lighthouse Amber,,,
40,IBU,2377,Altbier,122,Main St. Virginia Ale,,,,
29,IBU,2605,Altbier,25,,Tip Off,,,
0.051,AP,502,Altbier,395,Alteration,,,,
0.046,AP,573,Altbier,268,Long Trail Ale (1),,,,
0.06,AP,582,Altbier,71,Balt Altbier,,,,
0.055,AP,936,Altbier,490,,Loafin Bräu,,,
0.072,AP,1090,Altbier,268,,Double Bag,,,
0.05,AP,1129,Altbier,200,,Occidental Altbier,,,
0.05,AP,1248,Altbier,122,Main St. Virginia Ale,,,,
0.053,AP,1597,Altbier,364,Altus Bohemes Altbier,,,,
0.053,AP,1920,Altbier,270,Alaskan Amber,,,,
0.063,AP,2339,Altbier,144,Little Red Cap,,,,
0.052,AP,2354,Altbier,121,,Lighthouse Amber,,,
0.05,AP,2377,Altbier,122,Main St. Virginia Ale,,,,
0.052,AP,2605,Altbier,25,,Tip Off,,,
,IBU,97,American Adjunct Lager,229,Lazy Daze Lager,,,,
9,IBU,138,American Adjunct Lager,131,Point Special Lager,,,,
15,IBU,467,American Adjunct Lager,233,Joseph James American Lager,,,,
16,IBU,878,American Adjunct Lager,155,Lawnmower Lager,,,,
,IBU,1039,American Adjunct Lager,473,,Underachiever,,,
,IBU,1280,American Adjunct Lager,229,,Lazy Daze Lager,,,
9,IBU,2115,American Adjunct Lager,131,,Point Special Lager,,,
9,IBU,2121,American Adjunct Lager,131,Point Special (2012),,,,
9,IBU,2122,American Adjunct Lager,131,Point Special (2013),,,,
19,IBU,2212,American Adjunct Lager,38,Twisted X,,,,
9,IBU,2228,American Adjunct Lager,131,Point Special,,,,
8,IBU,2233,American Adjunct Lager,129,American Lager,,,,
,IBU,2273,American Adjunct Lager,134,Boxer,,,,
,IBU,2274,American Adjunct Lager,134,Boxer Ice,,,,
,IBU,2276,American Adjunct Lager,134,,,Boxer,,
9,IBU,2365,American Adjunct Lager,131,Point Special,,,,
9,IBU,2366,American Adjunct Lager,131,Point Special (Current),,,,
,IBU,2369,American Adjunct Lager,129,Straub Beer (Current),,,,
0.055,AP,97,American Adjunct Lager,229,Lazy Daze Lager,,,,
0.047,AP,138,American Adjunct Lager,131,Point Special Lager,,,,
0.052,AP,467,American Adjunct Lager,233,Joseph James American Lager,,,,
0.039,AP,878,American Adjunct Lager,155,Lawnmower Lager,,,,
0.05,AP,1039,American Adjunct Lager,473,,Underachiever,,,
0.055,AP,1280,American Adjunct Lager,229,,Lazy Daze Lager,,,
0.047,AP,2115,American Adjunct Lager,131,,Point Special Lager,,,
0.047,AP,2121,American Adjunct Lager,131,Point Special (2012),,,,
0.047,AP,2122,American Adjunct Lager,131,Point Special (2013),,,,
0.051,AP,2212,American Adjunct Lager,38,Twisted X,,,,
0.047,AP,2228,American Adjunct Lager,131,Point Special,,,,
0.041,AP,2233,American Adjunct Lager,129,American Lager,,,,
0.05,AP,2273,American Adjunct Lager,134,Boxer,,,,
0.055,AP,2274,American Adjunct Lager,134,Boxer Ice,,,,
0.05,AP,2276,American Adjunct Lager,134,,,Boxer,,
0.047,AP,2365,American Adjunct Lager,131,Point Special,,,,
0.047,AP,2366,American Adjunct Lager,131,Point Special (Current),,,,
0.05,AP,2369,American Adjunct Lager,129,Straub Beer (Current),,,,
42,IBU,28,American Amber / Red Ale,530,,Tule Duck Red Ale (Current),,,
24,IBU,37,American Amber / Red Ale,155,Ashland Amber Ale,,,,
,IBU,40,American Amber / Red Ale,410,Atlantic Amber Ale (2007),,,,
,IBU,57,American Amber / Red Ale,84,Red Jacket Amber Ale,,,,
,IBU,64,American Amber / Red Ale,548,Liquid Amber Ale,,,,
18,IBU,71,American Amber / Red Ale,82,Fat Tire Amber Ale (2008),,,,
,IBU,73,American Amber / Red Ale,534,Real McCoy Amber Ale (Current),,,,
15,IBU,78,American Amber / Red Ale,171,Boont Amber Ale (2011),,,,
19,IBU,83,American Amber / Red Ale,391,Avalanche Ale,,,,
,IBU,84,American Amber / Red Ale,424,Rail Yard Ale (2009),,,,
,IBU,96,American Amber / Red Ale,500,Annie's Amber Ale,,,,
24,IBU,120,American Amber / Red Ale,101,Hurricane Amber Ale,,,,
20,IBU,124,American Amber / Red Ale,30,Epicenter Amber Ale (2010),,,,
,IBU,125,American Amber / Red Ale,158,Lumberyard Red Ale,,,,
,IBU,143,American Amber / Red Ale,536,Grand Canyon Sunset Amber Ale,,,,
,IBU,161,American Amber / Red Ale,551,Red Mountain Ale,,,,
35,IBU,170,American Amber / Red Ale,182,,Native Amber (2013),,,
24,IBU,171,American Amber / Red Ale,284,,Louie’s Demise Immort-Ale (2010),,,
,IBU,174,American Amber / Red Ale,552,Mickey Finn's Amber Ale,,,,
,IBU,220,American Amber / Red Ale,386,Colorado Red Ale,,,,
,IBU,327,American Amber / Red Ale,549,Wapiti Amber Ale,,,,
27,IBU,339,American Amber / Red Ale,487,Copper Hook (2011),,,,
25,IBU,356,American Amber / Red Ale,63,Crazy Mountain Amber Ale,,,,
,IBU,470,American Amber / Red Ale,219,Bozone Select Amber Ale,,,,
,IBU,473,American Amber / Red Ale,537,Lewis & Clark Amber Ale,,,,
28,IBU,494,American Amber / Red Ale,152,Perfect Tin Amber,,,,
60,IBU,497,American Amber / Red Ale,362,,Hilliard's Amber Ale,,,
25,IBU,517,American Amber / Red Ale,365,,40th Annual Bix Street Fest Copper Ale (Current),,,
27,IBU,518,American Amber / Red Ale,190,Immersion Amber Ale (2011),,,,
20,IBU,521,American Amber / Red Ale,314,,McKinney Eddy Amber Ale,,,
35,IBU,533,American Amber / Red Ale,292,Amber Road,,,,
18,IBU,563,American Amber / Red Ale,82,,Fat Tire Amber Ale,,,
75,IBU,569,American Amber / Red Ale,141,Tocobaga Red Ale,,,,
,IBU,677,American Amber / Red Ale,10,,Big Red Coq (2012),,,
,IBU,688,American Amber / Red Ale,92,Firefly Amber Ale,,,,
24,IBU,690,American Amber / Red Ale,375,Sobrehumano Palena'ole,,,,
41,IBU,702,American Amber / Red Ale,360,Hot Rod Red,,,,
18,IBU,748,American Amber / Red Ale,82,Fat Tire Amber Ale (2011),,,,
24,IBU,751,American Amber / Red Ale,101,Hurricane Amber Ale (2004),,,,
,IBU,757,American Amber / Red Ale,410,Atlantic Amber Ale (2004),,,,
,IBU,780,American Amber / Red Ale,506,T-6 Red Ale (2004),,,,
24,IBU,794,American Amber / Red Ale,155,Ashland Amber Ale (2009),,,,
,IBU,807,American Amber / Red Ale,424,Rail Yard Ale,,,,
15,IBU,811,American Amber / Red Ale,171,Boont Amber Ale (2010),,,,
,IBU,869,American Amber / Red Ale,497,THP Amber (2006),,,,
49,IBU,871,American Amber / Red Ale,496,Dry Dock Amber Ale,,,,
35,IBU,882,American Amber / Red Ale,397,,1881 California Red Ale,,,
53,IBU,895,American Amber / Red Ale,201,,Loki Red Ale (2013),,,
,IBU,899,American Amber / Red Ale,229,,Rochester Red Ale,,,
15,IBU,921,American Amber / Red Ale,493,Northern Lights Amber Ale,,,,
27,IBU,924,American Amber / Red Ale,491,,Deadicated Amber,,,
72,IBU,935,American Amber / Red Ale,256,,Fascist Pig Ale,,,
,IBU,940,American Amber / Red Ale,63,Boohai Red Ale,,,,
,IBU,944,American Amber / Red Ale,488,Dock Street Amber Beer (1992),,,,
31,IBU,953,American Amber / Red Ale,486,,Wisco Disco,,,
32,IBU,961,American Amber / Red Ale,485,Mac's Scottish Style Amber Ale (2000),,,,
35,IBU,978,American Amber / Red Ale,374,Old Red Beard Amber Ale,,,,
,IBU,1044,American Amber / Red Ale,10,,Big Red Coq,,,
31,IBU,1057,American Amber / Red Ale,472,,South Ridge Amber Ale,,,
85,IBU,1067,American Amber / Red Ale,220,,Disconnected Red,,,
,IBU,1069,American Amber / Red Ale,100,West Sixth Amber Ale,,,,
20,IBU,1073,American Amber / Red Ale,30,Epicenter Amber Ale,,,,
60,IBU,1085,American Amber / Red Ale,80,,Rise-Up Red (2014),,,
30,IBU,1124,American Amber / Red Ale,91,Happy Amber,,,,
,IBU,1131,American Amber / Red Ale,235,Back East Ale,,,,
,IBU,1163,American Amber / Red Ale,63,WinterWonderGrass Festival Ale,,,,
,IBU,1179,American Amber / Red Ale,459,,River North Ale,,,
20,IBU,1200,American Amber / Red Ale,457,Bomber Mountain Amber Ale (2013),,,,
,IBU,1218,American Amber / Red Ale,452,All American Red Ale,,,,
24,IBU,1272,American Amber / Red Ale,284,,Louie's Demise Amber Ale,,,
,IBU,1278,American Amber / Red Ale,438,Northern Hawk Owl Amber,,,,
,IBU,1320,American Amber / Red Ale,380,Last Call Imperial Amber Ale,,,,
15,IBU,1326,American Amber / Red Ale,171,Boont Amber Ale,,,,
25,IBU,1404,American Amber / Red Ale,11,,North 45 Amber Ale,,,
,IBU,1432,American Amber / Red Ale,409,,Yard Sale Amber Ale,,,
,IBU,1457,American Amber / Red Ale,370,,Chronic Ale,,,
35,IBU,1479,American Amber / Red Ale,397,1881 California Red,,,,
115,IBU,1492,American Amber / Red Ale,209,,Blazing World,,,
,IBU,1518,American Amber / Red Ale,355,,Devils Head Red Ale,,,
18,IBU,1586,American Amber / Red Ale,82,Fat Tire Amber Ale,,,,
,IBU,1638,American Amber / Red Ale,353,,Aslan Amber,,,
45,IBU,1643,American Amber / Red Ale,318,Banner American Ale,,,,
,IBU,1650,American Amber / Red Ale,139,Arkansas Red,,,,
27,IBU,1660,American Amber / Red Ale,190,Immersion Amber,,,,
24,IBU,1669,American Amber / Red Ale,150,Oakshire Amber Ale,,,,
42,IBU,1688,American Amber / Red Ale,298,American Hero,,,,
80,IBU,1745,American Amber / Red Ale,133,,Mississippi Fire Ant,,,
37,IBU,1746,American Amber / Red Ale,330,Dead Armadillo Amber Ale,,,,
,IBU,1764,American Amber / Red Ale,43,Rudolph's Red,,,,
40,IBU,1767,American Amber / Red Ale,183,,Seventh Son Hopped Red Ale,,,
39,IBU,1792,American Amber / Red Ale,313,Iron Butt Red Ale,,,,
,IBU,1811,American Amber / Red Ale,305,,Marblehead,,,
44,IBU,1847,American Amber / Red Ale,294,Colorado Red Ale,,,,
,IBU,1860,American Amber / Red Ale,289,,Rogue American Amber Ale,,,
,IBU,1877,American Amber / Red Ale,43,Patrick's Poison,,,,
,IBU,1889,American Amber / Red Ale,282,Leatherhead Red,,,,
30,IBU,1924,American Amber / Red Ale,268,Long Trail Ale,,,,
35,IBU,1928,American Amber / Red Ale,267,,Cape Cod Red,,,
30,IBU,1936,American Amber / Red Ale,265,Farmer's Tan Red Ale,,,,
,IBU,1952,American Amber / Red Ale,260,,Train Wreck,,,
,IBU,1998,American Amber / Red Ale,253,Old Detroit,,,,
50,IBU,2041,American Amber / Red Ale,241,Dammit Jim!,,,,
30,IBU,2064,American Amber / Red Ale,230,Fisherman's Brew,,,,
26,IBU,2075,American Amber / Red Ale,228,Cedar Point,,,,
38,IBU,2095,American Amber / Red Ale,221,Wavemaker,,,,
60,IBU,2132,American Amber / Red Ale,93,Dad,,,,
,IBU,2134,American Amber / Red Ale,175,,Angry Adam,,,
25,IBU,2140,American Amber / Red Ale,124,,El Rojo,,,
,IBU,2145,American Amber / Red Ale,212,Red Water Irish Style Red,,,,
75,IBU,2154,American Amber / Red Ale,209,,Aurora ,,,
40,IBU,2167,American Amber / Red Ale,207,Evil Owl,,,,
23,IBU,2177,American Amber / Red Ale,203,Volcano Red Ale,,,,
53,IBU,2191,American Amber / Red Ale,201,,Loki Red Ale,,,
35,IBU,2197,American Amber / Red Ale,161,,Rubberneck Red,,,
35,IBU,2213,American Amber / Red Ale,182,,Native Amber,,,
,IBU,2288,American Amber / Red Ale,60,Reprise Centennial Red,,,,
,IBU,2322,American Amber / Red Ale,151,Fort Pitt Ale,,,,
,IBU,2340,American Amber / Red Ale,132,Drop Kick Ale,,,,
32,IBU,2350,American Amber / Red Ale,140,Oklahoma Suks,,,,
60,IBU,2388,American Amber / Red Ale,80,,Rise Up Red,,,
35,IBU,2406,American Amber / Red Ale,115,Murphy's Law,,,,
,IBU,2436,American Amber / Red Ale,102,Amber Ale,,,,
93,IBU,2444,American Amber / Red Ale,97,,Nugget Nectar,,,
42,IBU,2452,American Amber / Red Ale,93,Hustle,,,,
,IBU,2456,American Amber / Red Ale,89,,Broad Brook Ale,,,
,IBU,2468,American Amber / Red Ale,85,,Manitou Amber,,,
20,IBU,2484,American Amber / Red Ale,79,Bomber Mountain Amber Ale,,,,
,IBU,2488,American Amber / Red Ale,77,Van Dayum!,,,,
,IBU,2492,American Amber / Red Ale,59,Schoolhouse Honey,,,,
,IBU,2517,American Amber / Red Ale,67,Rod Bender Red,,,,
,IBU,2523,American Amber / Red Ale,66,Original,,,,
,IBU,2559,American Amber / Red Ale,52,,Blood of the Unicorn,,,
16,IBU,2660,American Amber / Red Ale,4,Westfalia,,,,
0.062,AP,28,American Amber / Red Ale,530,,Tule Duck Red Ale (Current),,,
0.054,AP,37,American Amber / Red Ale,155,Ashland Amber Ale,,,,
0.05,AP,40,American Amber / Red Ale,410,Atlantic Amber Ale (2007),,,,
,AP,57,American Amber / Red Ale,84,Red Jacket Amber Ale,,,,
,AP,64,American Amber / Red Ale,548,Liquid Amber Ale,,,,
0.052,AP,71,American Amber / Red Ale,82,Fat Tire Amber Ale (2008),,,,
0.045,AP,73,American Amber / Red Ale,534,Real McCoy Amber Ale (Current),,,,
0.058,AP,78,American Amber / Red Ale,171,Boont Amber Ale (2011),,,,
0.054,AP,83,American Amber / Red Ale,391,Avalanche Ale,,,,
0.052,AP,84,American Amber / Red Ale,424,Rail Yard Ale (2009),,,,
0.055,AP,96,American Amber / Red Ale,500,Annie's Amber Ale,,,,
0.052,AP,120,American Amber / Red Ale,101,Hurricane Amber Ale,,,,
0.055,AP,124,American Amber / Red Ale,30,Epicenter Amber Ale (2010),,,,
0.058,AP,125,American Amber / Red Ale,158,Lumberyard Red Ale,,,,
0.054,AP,143,American Amber / Red Ale,536,Grand Canyon Sunset Amber Ale,,,,
0.06,AP,161,American Amber / Red Ale,551,Red Mountain Ale,,,,
0.063,AP,170,American Amber / Red Ale,182,,Native Amber (2013),,,
0.051,AP,171,American Amber / Red Ale,284,,Louie’s Demise Immort-Ale (2010),,,
0.056,AP,174,American Amber / Red Ale,552,Mickey Finn's Amber Ale,,,,
0.062,AP,220,American Amber / Red Ale,386,Colorado Red Ale,,,,
0.05,AP,327,American Amber / Red Ale,549,Wapiti Amber Ale,,,,
0.058,AP,339,American Amber / Red Ale,487,Copper Hook (2011),,,,
0.052,AP,356,American Amber / Red Ale,63,Crazy Mountain Amber Ale,,,,
0.055,AP,470,American Amber / Red Ale,219,Bozone Select Amber Ale,,,,
0.05,AP,473,American Amber / Red Ale,537,Lewis & Clark Amber Ale,,,,
0.045,AP,494,American Amber / Red Ale,152,Perfect Tin Amber,,,,
0.055,AP,497,American Amber / Red Ale,362,,Hilliard's Amber Ale,,,
0.048,AP,517,American Amber / Red Ale,365,,40th Annual Bix Street Fest Copper Ale (Current),,,
0.052,AP,518,American Amber / Red Ale,190,Immersion Amber Ale (2011),,,,
0.055,AP,521,American Amber / Red Ale,314,,McKinney Eddy Amber Ale,,,
0.055,AP,533,American Amber / Red Ale,292,Amber Road,,,,
0.052,AP,563,American Amber / Red Ale,82,,Fat Tire Amber Ale,,,
0.072,AP,569,American Amber / Red Ale,141,Tocobaga Red Ale,,,,
0.062,AP,677,American Amber / Red Ale,10,,Big Red Coq (2012),,,
0.05,AP,688,American Amber / Red Ale,92,Firefly Amber Ale,,,,
0.06,AP,690,American Amber / Red Ale,375,Sobrehumano Palena'ole,,,,
0.061,AP,702,American Amber / Red Ale,360,Hot Rod Red,,,,
0.052,AP,748,American Amber / Red Ale,82,Fat Tire Amber Ale (2011),,,,
0.052,AP,751,American Amber / Red Ale,101,Hurricane Amber Ale (2004),,,,
0.05,AP,757,American Amber / Red Ale,410,Atlantic Amber Ale (2004),,,,
0.047,AP,780,American Amber / Red Ale,506,T-6 Red Ale (2004),,,,
0.054,AP,794,American Amber / Red Ale,155,Ashland Amber Ale (2009),,,,
0.052,AP,807,American Amber / Red Ale,424,Rail Yard Ale,,,,
0.058,AP,811,American Amber / Red Ale,171,Boont Amber Ale (2010),,,,
,AP,869,American Amber / Red Ale,497,THP Amber (2006),,,,
0.058,AP,871,American Amber / Red Ale,496,Dry Dock Amber Ale,,,,
0.056,AP,882,American Amber / Red Ale,397,,1881 California Red Ale,,,
0.075,AP,895,American Amber / Red Ale,201,,Loki Red Ale (2013),,,
0.059,AP,899,American Amber / Red Ale,229,,Rochester Red Ale,,,
0.05,AP,921,American Amber / Red Ale,493,Northern Lights Amber Ale,,,,
0.054,AP,924,American Amber / Red Ale,491,,Deadicated Amber,,,
0.08,AP,935,American Amber / Red Ale,256,,Fascist Pig Ale,,,
,AP,940,American Amber / Red Ale,63,Boohai Red Ale,,,,
,AP,944,American Amber / Red Ale,488,Dock Street Amber Beer (1992),,,,
0.051,AP,953,American Amber / Red Ale,486,,Wisco Disco,,,
0.051,AP,961,American Amber / Red Ale,485,Mac's Scottish Style Amber Ale (2000),,,,
0.06,AP,978,American Amber / Red Ale,374,Old Red Beard Amber Ale,,,,
0.06,AP,1044,American Amber / Red Ale,10,,Big Red Coq,,,
0.06,AP,1057,American Amber / Red Ale,472,,South Ridge Amber Ale,,,
0.067,AP,1067,American Amber / Red Ale,220,,Disconnected Red,,,
0.055,AP,1069,American Amber / Red Ale,100,West Sixth Amber Ale,,,,
0.055,AP,1073,American Amber / Red Ale,30,Epicenter Amber Ale,,,,
0.058,AP,1085,American Amber / Red Ale,80,,Rise-Up Red (2014),,,
0.06,AP,1124,American Amber / Red Ale,91,Happy Amber,,,,
0.05,AP,1131,American Amber / Red Ale,235,Back East Ale,,,,
,AP,1163,American Amber / Red Ale,63,WinterWonderGrass Festival Ale,,,,
0.05,AP,1179,American Amber / Red Ale,459,,River North Ale,,,
0.046,AP,1200,American Amber / Red Ale,457,Bomber Mountain Amber Ale (2013),,,,
0.05,AP,1218,American Amber / Red Ale,452,All American Red Ale,,,,
0.051,AP,1272,American Amber / Red Ale,284,,Louie's Demise Amber Ale,,,
0.058,AP,1278,American Amber / Red Ale,438,Northern Hawk Owl Amber,,,,
0.08,AP,1320,American Amber / Red Ale,380,Last Call Imperial Amber Ale,,,,
0.058,AP,1326,American Amber / Red Ale,171,Boont Amber Ale,,,,
0.059,AP,1404,American Amber / Red Ale,11,,North 45 Amber Ale,,,
0.056,AP,1432,American Amber / Red Ale,409,,Yard Sale Amber Ale,,,
0.049,AP,1457,American Amber / Red Ale,370,,Chronic Ale,,,
0.056,AP,1479,American Amber / Red Ale,397,1881 California Red,,,,
0.065,AP,1492,American Amber / Red Ale,209,,Blazing World,,,
0.073,AP,1518,American Amber / Red Ale,355,,Devils Head Red Ale,,,
0.052,AP,1586,American Amber / Red Ale,82,Fat Tire Amber Ale,,,,
0.077,AP,1638,American Amber / Red Ale,353,,Aslan Amber,,,
0.035,AP,1643,American Amber / Red Ale,318,Banner American Ale,,,,
0.052,AP,1650,American Amber / Red Ale,139,Arkansas Red,,,,
0.052,AP,1660,American Amber / Red Ale,190,Immersion Amber,,,,
0.054,AP,1669,American Amber / Red Ale,150,Oakshire Amber Ale,,,,
0.057,AP,1688,American Amber / Red Ale,298,American Hero,,,,
0.08,AP,1745,American Amber / Red Ale,133,,Mississippi Fire Ant,,,
0.063,AP,1746,American Amber / Red Ale,330,Dead Armadillo Amber Ale,,,,
0.081,AP,1764,American Amber / Red Ale,43,Rudolph's Red,,,,
0.077,AP,1767,American Amber / Red Ale,183,,Seventh Son Hopped Red Ale,,,
0.058,AP,1792,American Amber / Red Ale,313,Iron Butt Red Ale,,,,
0.055,AP,1811,American Amber / Red Ale,305,,Marblehead,,,
0.066,AP,1847,American Amber / Red Ale,294,Colorado Red Ale,,,,
0.051,AP,1860,American Amber / Red Ale,289,,Rogue American Amber Ale,,,
0.08,AP,1877,American Amber / Red Ale,43,Patrick's Poison,,,,
0.052,AP,1889,American Amber / Red Ale,282,Leatherhead Red,,,,
0.046,AP,1924,American Amber / Red Ale,268,Long Trail Ale,,,,
0.055,AP,1928,American Amber / Red Ale,267,,Cape Cod Red,,,
0.06,AP,1936,American Amber / Red Ale,265,Farmer's Tan Red Ale,,,,
0.082,AP,1952,American Amber / Red Ale,260,,Train Wreck,,,
0.056,AP,1998,American Amber / Red Ale,253,Old Detroit,,,,
0.052,AP,2041,American Amber / Red Ale,241,Dammit Jim!,,,,
0.055,AP,2064,American Amber / Red Ale,230,Fisherman's Brew,,,,
0.05,AP,2075,American Amber / Red Ale,228,Cedar Point,,,,
0.058,AP,2095,American Amber / Red Ale,221,Wavemaker,,,,
0.06,AP,2132,American Amber / Red Ale,93,Dad,,,,
0.06,AP,2134,American Amber / Red Ale,175,,Angry Adam,,,
0.065,AP,2140,American Amber / Red Ale,124,,El Rojo,,,
0.065,AP,2145,American Amber / Red Ale,212,Red Water Irish Style Red,,,,
0.067,AP,2154,American Amber / Red Ale,209,,Aurora ,,,
0.052,AP,2167,American Amber / Red Ale,207,Evil Owl,,,,
0.052,AP,2177,American Amber / Red Ale,203,Volcano Red Ale,,,,
0.075,AP,2191,American Amber / Red Ale,201,,Loki Red Ale,,,
0.05,AP,2197,American Amber / Red Ale,161,,Rubberneck Red,,,
0.063,AP,2213,American Amber / Red Ale,182,,Native Amber,,,
0.06,AP,2288,American Amber / Red Ale,60,Reprise Centennial Red,,,,
,AP,2322,American Amber / Red Ale,151,Fort Pitt Ale,,,,
0.052,AP,2340,American Amber / Red Ale,132,Drop Kick Ale,,,,
0.048,AP,2350,American Amber / Red Ale,140,Oklahoma Suks,,,,
0.058,AP,2388,American Amber / Red Ale,80,,Rise Up Red,,,
0.058,AP,2406,American Amber / Red Ale,115,Murphy's Law,,,,
0.051,AP,2436,American Amber / Red Ale,102,Amber Ale,,,,
0.075,AP,2444,American Amber / Red Ale,97,,Nugget Nectar,,,
0.057,AP,2452,American Amber / Red Ale,93,Hustle,,,,
0.061,AP,2456,American Amber / Red Ale,89,,Broad Brook Ale,,,
0.053,AP,2468,American Amber / Red Ale,85,,Manitou Amber,,,
0.046,AP,2484,American Amber / Red Ale,79,Bomber Mountain Amber Ale,,,,
,AP,2488,American Amber / Red Ale,77,Van Dayum!,,,,
0.05,AP,2492,American Amber / Red Ale,59,Schoolhouse Honey,,,,
0.059,AP,2517,American Amber / Red Ale,67,Rod Bender Red,,,,
0.068,AP,2523,American Amber / Red Ale,66,Original,,,,
0.065,AP,2559,American Amber / Red Ale,52,,Blood of the Unicorn,,,
0.056,AP,2660,American Amber / Red Ale,4,Westfalia,,,,
,IBU,65,American Amber / Red Lager,437,Brooklyn Lager (12 oz.),,,,
,IBU,66,American Amber / Red Lager,437,,Brooklyn Lager (16 oz.),,,
25,IBU,91,American Amber / Red Lager,119,Steam Engine Lager,,,,
14,IBU,139,American Amber / Red Lager,131,Point Amber Classic,,,,
,IBU,319,American Amber / Red Lager,206,,1811 Lager,,,
26,IBU,431,American Amber / Red Lager,462,Colorado Native (2011),,,,
45,IBU,465,American Amber / Red Lager,125,Sympathy for the Lager,,,,
17,IBU,514,American Amber / Red Lager,533,Abita Amber,,,,
18,IBU,590,American Amber / Red Lager,439,Longboard Island Lager,,,,
25,IBU,673,American Amber / Red Lager,516,,Dottie Seattle Lager,,,
,IBU,963,American Amber / Red Lager,484,Manhattan Gold Lager (1990),,,,
18,IBU,1070,American Amber / Red Lager,439,Longboard Island Lager,,,,
,IBU,1100,American Amber / Red Lager,43,RT Lager,,,,
26,IBU,1165,American Amber / Red Lager,462,Colorado Native,,,,
,IBU,1207,American Amber / Red Lager,455,Dam Lager,,,,
18,IBU,1220,American Amber / Red Lager,439,,Longboard Island Lager,,,
18,IBU,1274,American Amber / Red Lager,439,,,Longboard Island Lager,,
,IBU,1330,American Amber / Red Lager,427,,Track 1 Amber Lager,,,
42,IBU,1370,American Amber / Red Lager,397,Ruhstaller's Gilt Edge Lager Beer,,,,
,IBU,1529,American Amber / Red Lager,390,,Lizzy's Red,,,
,IBU,1551,American Amber / Red Lager,351,Pop's Old Fashioned Lager,,,,
,IBU,1598,American Amber / Red Lager,366,Mustang Sixty-Six,,,,
,IBU,1737,American Amber / Red Lager,82,California Route,,,,
24,IBU,1839,American Amber / Red Lager,122,Chin Music Amber Lager,,,,
22,IBU,2100,American Amber / Red Lager,159,Yard Sale Winter Lager,,,,
,IBU,2103,American Amber / Red Lager,35,California Lager,,,,
,IBU,2149,American Amber / Red Lager,211,#001 Golden Amber Lager,,,,
8,IBU,2232,American Amber / Red Lager,129,American Amber,,,,
26,IBU,2588,American Amber / Red Lager,38,Cow Creek,,,,
0.052,AP,65,American Amber / Red Lager,437,Brooklyn Lager (12 oz.),,,,
0.052,AP,66,American Amber / Red Lager,437,,Brooklyn Lager (16 oz.),,,
0.057,AP,91,American Amber / Red Lager,119,Steam Engine Lager,,,,
0.047,AP,139,American Amber / Red Lager,131,Point Amber Classic,,,,
0.051,AP,319,American Amber / Red Lager,206,,1811 Lager,,,
0.055,AP,431,American Amber / Red Lager,462,Colorado Native (2011),,,,
0.049,AP,465,American Amber / Red Lager,125,Sympathy for the Lager,,,,
0.045,AP,514,American Amber / Red Lager,533,Abita Amber,,,,
0.046,AP,590,American Amber / Red Lager,439,Longboard Island Lager,,,,
0.049,AP,673,American Amber / Red Lager,516,,Dottie Seattle Lager,,,
,AP,963,American Amber / Red Lager,484,Manhattan Gold Lager (1990),,,,
0.046,AP,1070,American Amber / Red Lager,439,Longboard Island Lager,,,,
0.055,AP,1100,American Amber / Red Lager,43,RT Lager,,,,
0.055,AP,1165,American Amber / Red Lager,462,Colorado Native,,,,
0.045,AP,1207,American Amber / Red Lager,455,Dam Lager,,,,
0.046,AP,1220,American Amber / Red Lager,439,,Longboard Island Lager,,,
0.046,AP,1274,American Amber / Red Lager,439,,,Longboard Island Lager,,
0.045,AP,1330,American Amber / Red Lager,427,,Track 1 Amber Lager,,,
0.048,AP,1370,American Amber / Red Lager,397,Ruhstaller's Gilt Edge Lager Beer,,,,
0.055,AP,1529,American Amber / Red Lager,390,,Lizzy's Red,,,
0.052,AP,1551,American Amber / Red Lager,351,Pop's Old Fashioned Lager,,,,
0.05,AP,1598,American Amber / Red Lager,366,Mustang Sixty-Six,,,,
0.055,AP,1737,American Amber / Red Lager,82,California Route,,,,
0.045,AP,1839,American Amber / Red Lager,122,Chin Music Amber Lager,,,,
0.04,AP,2100,American Amber / Red Lager,159,Yard Sale Winter Lager,,,,
0.049,AP,2103,American Amber / Red Lager,35,California Lager,,,,
0.055,AP,2149,American Amber / Red Lager,211,#001 Golden Amber Lager,,,,
0.041,AP,2232,American Amber / Red Lager,129,American Amber,,,,
0.054,AP,2588,American Amber / Red Lager,38,Cow Creek,,,,
