




21	159 
42	167
18	160*  
21	NA 
24	180
23	170
24	NA
34	NA
21	185
21	185
25	185
25	185*
27	185
27	185
31	188
31	188
31	188
31	188
33	188
33	188
33	188
33	188
31	183
31	183
31	183
31	183*
33	183
33	183
33	183
33	183
18	168
18	168
26	186
26	NA
22	182
31	172
30	159
34	159
32	171
22	NA
22	NA
30	NA
30	NA
34	NA
28	184
28	175
28	175
28	175
28	175
28	175
28	175*
28	175
28	175
32	175
32	175
32	175
32	175
32	175
32	175
32	175
32	175
31	189
54	NA
20	176
20	176
20	176
20	176
22	176
22	176
22	176
22	176
22	176
26	176
26	176
26	176
26	176
30	176
30	176
30	176
30	176
30	176
34	176
34	176
27	163
22	170
22	187
26	187
24	NA
24	NA
27	NA
24	NA
17	169
26	NA
43	170
47	170
22	NA
26	189
30	189
24	174
23	NA
24	187
28	187
30	187
24	190
21	194
21	194
21	194
25	194
25	194
23	182
20	NA
33	NA
33	NA
33	NA
23	NA
27	NA
27	NA
31	NA
31	NA
31	NA
28	NA
25	NA
