NOC,region,notes,Year,Country
AFG,Afghanistan,NA,1978,Cyprus
AFG,Afghanistan,NA,1979,Bahrain
AHO,Curacao,Netherlands Antilles,1979,Laos
ALB,Albania,NA,1979,Mauritania
ALG,Algeria,NA,1979,Mozambique
AND,Andorra,NA,1979,People's Republic of China
ARG,Argentina,NA,1979,Seychelles
ARM,Armenia,NA,1979,Vietnam
AFG,Afghanistan,NA,1980,Angola
AHO,Curacao,Netherlands Antilles,1980,Bangladesh
ALB,Albania,NA,1980,Botswana
ALG,Algeria,NA,1980,Qatar
AND,Andorra,NA,1980,United
ANG,Angola,NA,1980,Arab
ANT,Antigua,Antigua and Barbuda,1980,Emirates
ANZ,Australia,Australasia,1980,Zimbabwe
AFG,Afghanistan,NA,1981,Yemen
AFG,Afghanistan,NA,1982,British Virgin Islands
ALG,Algeria,NA,1982,Oman
AFG,Afghanistan,NA,1983,Bhutan
AHO,Curacao,Netherlands Antilles,1983,Samoa
ALB,Albania,NA,1983,Solomon
ALG,Algeria,NA,1983,Islands
AFG,Afghanistan,NA,1984,Brunei
AHO,Curacao,Netherlands Antilles,1984,Djibouti
ALB,Albania,NA,1984,Equatorial
ALG,Algeria,NA,1984,Guinea
AND,Andorra,NA,1984,Grenada
ANG,Angola,NA,1984,Rwanda
ANT,Antigua,Antigua and Barbuda,1984,Tonga
AFG,Afghanistan,NA,1985,Maldives
AFG,Afghanistan,NA,1986,Aruba
AHO,Curacao,Netherlands Antilles,1986,Cook
ALB,Albania,NA,1986,Islands
ALG,Algeria,NA,1986,Guam
AFG,Afghanistan,NA,1987,American Samoa
ALB,Albania,NA,1987,Saint Vincent and the Grenadines
ANZ,Australia,Australasia,1987,Vanuatu
AFG,Afghanistan,NA,1991,Estonia[a]
AHO,Curacao,Netherlands Antilles,1991,Latvia
ALB,Albania,NA,1991,[a]
ALG,Algeria,NA,1991,Lithuania
AND,Andorra,NA,1991,[a]
ANG,Angola,NA,1991,Namibia
ANT,Antigua,Antigua and Barbuda,1991,South
ANZ,Australia,Australasia,1991,Africa[c]
AFG,Afghanistan,NA,1993,Armenia
AHO,Curacao,Netherlands Antilles,1993,Azerbaijan
ALB,Albania,NA,1993,Belarus
ALG,Algeria,NA,1993,Bosnia and Herzegovina
ANT,Antigua,Antigua and Barbuda,1993,Burundi
ANZ,Australia,Australasia,1993,Cape Verde
ARM,Armenia,NA,1993,Comoros
ARU,Aruba,NA,1993,Croatia
ASA,American Samoa,NA,1993,Czech Republic
AUT,Austria,NA,1993,Dominica
AZE,Azerbaijan,NA,1993,Georgia
BAH,Bahamas,NA,1993,Kazakhstan
BAN,Bangladesh,NA,1993,Kyrgyzstan
BAR,Barbados,NA,1993,Moldova
BDI,Burundi,NA,1993,Macedonia
BEL,Belgium,NA,1993,Russia
BEN,Benin,NA,1993,Saint Kitts and Nevis
BIZ,Belize,NA,1993,Saint Lucia
BOH,Czech Republic,Bohemia,1993,São Tomé and Príncipe
BRN,Bahrain,NA,1993,Slovakia
BRU,Brunei,NA,1993,Slovenia
BUL,Bulgaria,NA,1993,Tajikistan
BUR,Burkina Faso,NA,1993,Turkmenistan
CAF,Central African Republic,NA,1993,Ukraine
CAM,Cambodia,NA,1993,Uzbekistan
AFG,Afghanistan,NA,1994,Nauru
AFG,Afghanistan,NA,1995,Cambodia
AHO,Curacao,Netherlands Antilles,1995,Guinea-Bissau
ALB,Albania,NA,1995,Palestine
AFG,Afghanistan,NA,1997,Federated States of Micronesia
AFG,Afghanistan,NA,1999,Eritrea
AHO,Curacao,Netherlands Antilles,1999,Palau
AFG,Afghanistan,NA,2003,Kiribati
AHO,Curacao,Netherlands Antilles,2003,Timor-Leste
AFG,Afghanistan,NA,2006,Marshall Islands
AFG,Afghanistan,NA,2007,Montenegro
AHO,Curacao,Netherlands Antilles,2007,Tuvalu
AFG,Afghanistan,NA,2014,Kosovo
AFG,Afghanistan,NA,2015,South Sudan
